insert_i,recall
1407,0.770000
1408,0.810000
1409,0.850000
1410,0.830000
1411,0.890000
1412,0.700000
1413,0.710000
1414,0.880000
1415,0.820000
1416,0.910000
1417,0.860000
1418,0.790000
1419,0.810000
1420,0.820000
1421,0.730000
1422,0.720000
1423,0.770000
1424,0.900000
1425,0.780000
1426,0.830000
1427,0.750000
1428,0.820000
1429,0.690000
1430,0.830000
1431,0.720000
1432,0.820000
1433,0.800000
1434,0.780000
1435,0.810000
1436,0.850000
1437,0.790000
1438,0.830000
1439,0.800000
1440,0.720000
1441,0.690000
1442,0.820000
1443,0.880000
1444,0.880000
1445,0.820000
1446,0.840000
1447,0.780000
1448,0.750000
1449,0.820000
1450,0.870000
1451,0.890000
1452,0.830000
1453,0.760000
1454,0.780000
1455,0.730000
1456,0.760000
1457,0.820000
1458,0.660000
1459,0.570000
1460,0.840000
1461,0.850000
1462,0.840000
1463,0.790000
1464,0.800000
1465,0.900000
1466,0.800000
1467,0.770000
1468,0.750000
1469,0.800000
1470,0.860000
1471,0.850000
1472,0.830000
1473,0.740000
1474,0.810000
1475,0.830000
1476,0.720000
1477,0.840000
1478,0.790000
1479,0.740000
1480,0.750000
1481,0.830000
1482,0.760000
1483,0.800000
1484,0.830000
1485,0.830000
1486,0.810000
1487,0.780000
1488,0.810000
1489,0.890000
1490,0.880000
1491,0.820000
1492,0.810000
1493,0.800000
1494,0.820000
1495,0.800000
1496,0.790000
1497,0.890000
1498,0.790000
1499,0.810000
1500,0.820000
1501,0.860000
1502,0.830000
1503,0.880000
1504,0.710000
1505,0.820000
1506,0.790000
1507,0.830000
1508,0.760000
1509,0.750000
1510,0.880000
1511,0.840000
1512,0.710000
1513,0.860000
1514,0.810000
1515,0.860000
1516,0.900000
1517,0.770000
1518,0.740000
1519,0.820000
1520,0.880000
1521,0.820000
1522,0.840000
1523,0.840000
1524,0.680000
1525,0.880000
1526,0.830000
1527,0.690000
1528,0.810000
1529,0.650000
1530,0.680000
1531,0.900000
1532,0.780000
1533,0.760000
1534,0.760000
1535,0.720000
1536,0.830000
1537,0.810000
1538,0.760000
1539,0.690000
1540,0.870000
1541,0.890000
1542,0.830000
1543,0.770000
1544,0.820000
1545,0.810000
1546,0.890000
1547,0.790000
1548,0.800000
1549,0.620000
1550,0.720000
1551,0.850000
1552,0.790000
1553,0.730000
1554,0.690000
1555,0.840000
1556,0.750000
1557,0.740000
1558,0.750000
1559,0.850000
1560,0.810000
1561,0.850000
1562,0.750000
1563,0.820000
1564,0.710000
1565,0.670000
1566,0.870000
1567,0.680000
1568,0.860000
1569,0.900000
1570,0.650000
1571,0.750000
1572,0.730000
1573,0.790000
1574,0.790000
1575,0.880000
1576,0.870000
1577,0.840000
1578,0.780000
1579,0.850000
1580,0.660000
1581,0.880000
1582,0.800000
1583,0.880000
1584,0.860000
1585,0.730000
1586,0.880000
1587,0.590000
1588,0.860000
1589,0.810000
1590,0.780000
1591,0.890000
1592,0.880000
1593,0.730000
1594,0.880000
1595,0.850000
1596,0.920000
1597,0.770000
1598,0.910000
1599,0.820000
1600,0.840000
1601,0.840000
1602,0.880000
1603,0.850000
1604,0.790000
1605,0.790000
1606,0.800000
1607,0.870000
1608,0.790000
1609,0.780000
1610,0.870000
1611,0.790000
1612,0.830000
1613,0.770000
1614,0.710000
1615,0.760000
