worker_type,worker_id,completed_ops,target_ops,wall_seconds,avg_latency_seconds,p95_latency_seconds,max_latency_seconds
writer,75,10000,10000,437.160564,0.043711,0.216429,0.821730
writer,76,10000,10000,437.327712,0.043727,0.212067,0.906675
writer,77,10000,10000,437.381633,0.043733,0.216622,0.923749
writer,78,10000,10000,436.660598,0.043661,0.213193,1.106936
writer,79,10000,10000,438.968380,0.043892,0.214865,0.866148
writer,80,10000,10000,439.174728,0.043912,0.214247,0.764208
writer,81,10000,10000,436.731611,0.043668,0.214475,0.836405
writer,82,10000,10000,435.432608,0.043538,0.217709,0.753586
writer,83,10000,10000,439.071237,0.043902,0.214795,0.875681
writer,84,10000,10000,430.912876,0.043086,0.216003,0.703647
writer,85,10000,10000,439.236738,0.043918,0.214880,1.069184
writer,86,10000,10000,436.405617,0.043635,0.216869,0.871056
writer,87,10000,10000,437.382534,0.043733,0.216434,0.870702
writer,88,10000,10000,437.854216,0.043780,0.214873,0.948330
writer,89,10000,10000,435.712560,0.043566,0.217113,0.844848
writer,90,10000,10000,437.932081,0.043788,0.216250,0.921694
writer,91,10000,10000,438.808274,0.043876,0.214671,0.899487
writer,92,10000,10000,436.990446,0.043694,0.215900,0.744560
writer,93,10000,10000,437.046084,0.043699,0.212472,0.913885
writer,94,10000,10000,439.037956,0.043898,0.212601,0.905869
writer,95,10000,10000,438.672457,0.043862,0.216317,0.765243
writer,96,10000,10000,438.950885,0.043890,0.215961,0.870795
writer,97,10000,10000,436.897326,0.043684,0.217177,0.800038
writer,98,10000,10000,435.286637,0.043523,0.213273,0.874403
writer,99,10000,10000,438.368971,0.043831,0.216173,0.907174
